,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
265442,31,Willershäuser Straße,,Ifta,,de,,,
511964,2,Ernst-Thälmann-Straße,,Kamsdorf,,de,,,
43280,3,Wiesenstraße,,Harth-Pöllnitz,,de,,,
8725,4,Richterstraße,,Gera,,de,,,
439386,10,Falltorstraße,,Helbedündorf,,de,,,
381301,5,Emil-Otto-Straße,,Bad Lobenstein,,de,,,
532875,13,Herschdorf,,Leutenberg,,de,,,
552345,15,Aureusstraße,,Heilbad Heiligenstadt,,de,,,
358073,31,Gartenweg,,Eisenberg,,de,,,
535439,10,Neusitzer Straße,,Uhlstädt-Kirchhasel,,de,,,
542004,57,Bergstraße,,Bernterode (bei Heilbad Heiligenstadt),,de,,,
240896,19,Finkenweg,,Römhild,,de,,,
395268,16,Schillerstraße,,Triptis,,de,,,
552538,15,Bonifatiusstraße,,Heilbad Heiligenstadt,,de,,,
517594,2,Arnsbacher Straße,,Probstzella,,de,,,
109003,25,Hermann-Leber-Straße,,Weimar,,de,,,
369930,27a,Dorfstraße,,Seitenroda,,de,,,
505773,28,Hirtenrangen,,Steinach,,de,,,
286045,3,Am Rasen,,Gerstungen,,de,,,
104959,4,GA An der Lache,,Erfurt,,de,,,
537082,52,Langenschader Straße,,Unterwellenborn,,de,,,
528721,27,Zetkinstraße,,Saalfeld/Saale,,de,,,
67899,25,Meeraner Straße,,Ponitz,,de,,,
458839,28a,Siegelbach,,Arnstadt,,de,,,
64459,3,Rusendorfer Weg,,Meuselwitz,,de,,,
416344,7,Töpferstraße,,Nordhausen,,de,,,
451811,2,Untertor,,Sondershausen,,de,,,
498566,28e,Friedrich-Engels-Straße,,Sonneberg,,de,,,
506891,49,Steinheider Straße,,Frankenblick,,de,,,
271103,41,Thalbergstraße,,Ruhla,,de,,,
343662,124,Am Steinborn,,Jena,,de,,,
414287,53,Hüpedenweg,,Nordhausen,,de,,,
113419,14,Auf dem Steinberge,,Weimar,,de,,,
92605,22,Hinter der Mühle,,Erfurt,,de,,,
303421,3,Westhäuser Straße,,Gotha,,de,,,
588356,5,Frohnestraße,,Mühlhausen/Thüringen,,de,,,
296658,7,Plan,,Eschenbergen,,de,,,
387210,11,Im Hain,,Pößneck,,de,,,
